,investment_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,country_1,country_2,s1,x1,y1,s2,x2,y2,coord_dist
1,4,2022,3,line,V.Minho ,Feira ,AC,131.0,,,V. Minho,-7.761841,41.58258,Feira,-8.36883500000001,40.953974,96.47511197301476
3,18,2022,3,line,Beariz,Fontefria,AC,30.0,ES,ES,Beariz,-8.242493,42.375793,Fontefria,-8.393555,42.1746,27.754446447004014
4,496,2022,3,line,Fontefria,Vila Nova de Famalicão,AC,140.21,ES,PT,Fontefría,42.4762,-7.7897,Vila Nova de Famalicão,41.4079,-8.5198,133.2104605367011
9,60,2022,4,line,Avelin/Mastaing,Horta,AC,80.0,FR,BE,Mastaing,3.35357699999999,50.316531,Horta,3.574677,51.015483,81.42303196894248
10,614,2023,4,line,Nauders,Glorenza,AC,26.0,AT,IT,Nauders,46.8917,10.5026,Glurns - Glorenza,46.6714,10.5539,24.80135201883699
11,1503,2026,4,line,Villanova,Lastva,DC,445.0,IT,ME,Villanova,43.7403,12.934,Obala Donja Lastva,42.446,18.6869,489.8394127837449
13,90,2023,3,line,Calenzano,Colunga,AC,80.0,IT,IT,Calenzano,11.126404,43.871168,Colunga,11.284332,44.494546,70.28543773176541
15,313,2026,3,line,Kocin,Mirovka,AC,120.5,CZ,CZ,Kočín,49.1609,14.3655,Mírovka,49.5798,15.6192,102.27832419176431
16,315,2028,3,line,Kocin,Prestice,AC,117.0,CZ,CZ,Kočín,49.1609,14.3655,Přeštice,49.5752,13.3225,88.6656295492824
19,144,2020,4,line,Audorf,Kassoe,AC,110.0,DE,DK,Audorf,9.759979,54.305307,Kassø,9.29580699999999,55.074436,98.82704683571505
25,1501,2020,4,line,Rimavska Sobota,Sajoivanka,AC,48.0,SK,HU,Rimavská Sobota,19.958038,48.37997,Sajóivánka,20.560913,48.263084,67.85075484813565
26,386,2020,4,line,Kilingi-Nomme,Riga CHP2,AC,205.0,EE,LV,Kilingi-Nomme,25.166931,58.185909,Riga HES,23.832092,56.830944,201.79094951556255
27,735,2021,4,line,Harku,Sindi,AC,175.0,EE,EE,Harku,24.378662,59.396171,Sindi,24.689026,58.377238,108.81861847215437
29,458,2024,3,line,Hinkley Point,Seabank,AC,60.0,GB,GB,Hinkley Point,-3.21075400000001,51.135416,Seabank,-2.633972,51.533523,77.63160465066778
37,146,2020,4,line,Oberzier,Lixhe,DC,90.0,DE,BE,Oberzier,6.46545399999999,50.830228,Lixhe,5.688171,50.729502,86.67735086743306
39,1488,2022,4,line,Diemen,Ens,AC,75.0,,,Diemen,5.06744400000001,52.238733,Ens,5.766449,52.653062,89.90874023669424
40,1490,2024,3,line,Ens,Zwolle,AC,32.0,,,Ens,5.766449,52.653062,Zwolle,6.212769,52.511206,51.795485801356044
41,1539,2023,3,line,Krimpen,Geertruidenberg,AC,35.0,,,Krimpen,4.65270999999999,51.852746,Geertruidenberg,5.05508399999999,51.661482,49.294422653332916
42,1540,2025,3,line,Eindhoven,Maasbracht,AC,50.0,,,Eindhoven,5.46432499999999,51.421477,Maasbracht,5.91064499999999,51.179343,56.17375838255757
46,1710,2024,3,line,Keminmaa,Pyhänselkä,AC,156.0,,,Keminmaa,24.612122,65.877531,Pyhänselkä,26.05957,64.965416,184.77525547975105
49,373,2023,4,line,Ostroleka,Stanislawow,AC,108.0,PL,PL,Ostrołęka,51.4421,20.7885,Stanisławów,52.2911,21.5491,108.01840945835288
50,733,2026,3,line,Ekhyddan,Nybro/Hemsjo,AC,160.0,SE,SE,Ekhyddevägen,59.4645,16.3085,Hemsjö,57.8447,12.4783,286.2640436767384
52,86,2024,3,line,Foggia,Villanova,AC,178.0,IT,IT,Foggia,15.637665,41.359288,Villanova,14.028168,42.408249,210.85742867512096
53,96,2021,4,line,Deliceto,Bisaccia,AC,30.0,IT,IT,Bovino-Deliceto,41.2783,15.369,Bisaccia Nuova,41.0096,15.3554,29.862767119733718
54,665,2025,3,line,Wolmirstedt,Isar,DC,540.0,DE,DE,Wolmirstedt,11.745758,52.227799,Isar,12.292328,48.659222,393.2714881080694
55,661,2025,3,line,Emden East,Osterath,DC,300.0,DE,DE,Elsterstraße,53.365,7.1549,Osterather Straße,50.9601,6.93637,268.0113191890859
56,273,2023,4,line,Cernavoda,Stalpu,AC,159.0,RO,RO,Strada Cernavodă,44.3735,27.8381,Stâlpu,44.2682,25.8517,158.8879536444717
57,275,2024,3,line,Smardan,Gutinas,AC,140.0,RO,RO,Smârdan,27.913513,45.611156,Gutinaş,26.872559,46.264392,132.20950859949778
59,800,2021,4,line,Varna,Burgas,AC,86.0,BG,BG,Varna,27.430115,43.405047,Burgas,27.360077,42.575332,82.4295092467702
64,238,2024,4,line,Resita,Pancevo,AC,131.0,RO,RS,Reşiţa,22.004242,45.309666,Pancevo,20.725708,45.02695,144.56633973076177
65,269,2024,4,line,Portile de Fier,Resita,AC,116.0,RO,RO,Porţile de Fier 1,22.597504,44.760386,Reşiţa,22.004242,45.309666,86.71339261291415
66,270,2025,3,line,Resita,Timisoara-Sacalaz-Arad,AC,274.0,RO,RO,Strada Reșița,46.5223,24.5348,Arad,46.1833,21.3167,250.52712612240197
74,1010,2025,3,line,Tartu,Valmiera,AC,133.0,,,Tartu,26.559448,58.359953,Valmiera,25.307007,57.530571,161.72497461540914
75,1011,2025,3,line,Tsirguliina,Valmiera,AC,60.0,,,Tsirguliina,26.004639,57.922871,Valmiera,25.307007,57.530571,86.74442520572497
87,1659,2025,3,line,Darbenai,Bitenai,AC,147.0,,,Darbėnai — Grūšlaukė,56.0521,21.3264,Vilkiškiai — Bitėnai — Panemunė,55.0525,22.1185,121.9995221659679
99,1014,2024,3,line,Verderio,Bonaduz,DC,165.0,,,Verderio,9.34249900000001,45.755068,Bonaduz,9.253235,46.824496,117.9083759603813
102,1018,2023,3,line,Klixbüll,Endrup ,AC,92.0,DE,,Klixbüller Chaussee,54.7795,8.95886,Endrup,55.5233,8.7196,84.19758423689389
104,997,2028,3,line,Pleinting,St. Peter,AC,60.0,DE,AT,Pleinting,13.035278,48.676454,St. Peter,13.08197,48.25577,45.91853342520432
106,742,2022,4,line,Pyhanselka,Petajavesi,AC,300.0,FI,FI,Pyhänselkä,26.05957,64.965416,Petäjävesi,25.180664,62.261532,288.4898414204728
107,308,2023,3,line,Vernerov,Vitkov,AC,83.0,CZ,CZ,Vernéřovská,50.1446,14.4392,Vítkova,49.4099,14.652,83.14173621941211
108,309,2021,4,line,Vitkov,Prestice,AC,87.0,CZ,CZ,Vítkov,12.796326,50.159305,Přeštice,13.283844,49.60715,80.5965937159681
111,939,2023,4,line,Conneforde,Emden/Ost,AC,60.0,,,Conneforde,8.12164300000001,53.300518,Emden,7.25646999999999,53.374317,96.02886922773651
112,1684,2020,4,line,Conneforde,Wilhelmshaven,AC,30.0,DE,DE,Conneforde,8.12164300000001,53.300518,Wilhelmshaven,8.12576299999999,53.520717,24.27236428616016
113,151,2023,4,line,Wehrendorf,Ganderkesee,AC,95.0,DE,DE,Wehrendorf,8.28506499999999,52.34373,Ganderkesee,8.46633900000001,52.94781,69.48832757904773
114,156,2023,4,line,Niederrhein,Dörpen/West,AC,182.0,DE,DE,Niederrhein,6.61651600000001,51.629952,Dörpen/West,7.16171299999999,52.847571,147.46164025248095
115,1380,2023,3,line,SOMPLAGO,WURMLACH,AC,51.0,,,Via Somplago,46.3247,13.0648,Würmlach,46.6575,13.0154,37.1882551170892
119,627,2026,3,line,Bajina Basta,Visegrad,AC,45.2,RS,BA,Bajina Basta,19.6875,44.024422,Visegrad,19.389496,43.723475,45.67049592783739
120,628,2024,3,line,SS Bajina Basta,SS Obrenovac,AC,109.0,RS,RS,Bajina Basta,19.6875,44.024422,Obrenovac,20.128326,44.590467,76.77464800722916
121,630,2026,3,line,Bajina Basta,Pljevlja,AC,100.0,RS,ME,Bajina Basta,19.6875,44.024422,Pljevlja 1,19.259033,43.40405,80.57268003202987
124,1527,2020,4,line,SS Kragujevac,SS Kraljevo,AC,60.0,,,Kragujevac,20.967407,44.034295,Kraljevo,20.622711,43.687736,52.51875776365937
132,353,2021,3,line,Krajnik,Baczyna,AC,70.0,PL,PL,Krajnik,14.441528,53.164887,Baczyna,15.021057,52.686373,82.26075084431957
133,355,2024,3,line,Mikulowa,Swiebodzice,AC,100.0,PL,PL,Mikułowa,15.088348,51.069017,Świebodzice,16.365509,50.81548,143.91406230663233
135,1232,2022,3,line,Baczyna,Plewiska,AC,147.0,,,Baczyna,15.021057,52.686373,Plewiska,16.730804,52.32359,193.14436784378395
139,664,2026,3,line,"Brunsbüttel, Wilster","Großgartach, Grafenrheinfeld",DC,700.0,,,Brunsbüttel,9.24224899999999,53.906765,Grafenrheinfeld,10.081329,49.950336,444.022074655399
150,1246,2021,4,line,Meeden,Diele,AC,27.0,NL,DE,Meeden,6.97631799999999,53.011478,Diele,7.375946,53.057723,44.48969760991373
152,1384,2024,3,line,Castasegna,Mese,AC,14.0,,,Castasegna,9.50454700000001,46.358302,Mese,9.347992,46.250149,20.998055047370972
154,1456,2024,3,line,Massenhoven,Van Eyck,AC,90.0,BE,BE,Massenhoven,4.60464499999999,51.208604,Van Eyck,5.71701000000001,51.093173,123.67293063127639
161,660,2024,3,line,Osterath,Philippsburg,DC,340.0,DE,DE,Osterath,6.58630399999999,51.245584,Philippsburg,8.411407,49.20414,302.5001986837933
162,667,2022,4,line,Brunsbüttel,Klixbüll,AC,125.0,DE,DE,Brunsbüttel,53.8973,9.13954,Klixbüll,54.8872,8.7106,113.65567906528507
168,1259,2029,3,line,Beznau,Mettlen,AC,64.0,,,Beznau,8.26995800000001,47.480088,Mettlen,8.298798,47.148634,36.6538522465217
169,1284,2022,4,line,Pradella,La Punt,AC,49.0,,,Pradella di sopra,46.1742,9.84192,La Punt-Chamues-ch,46.5508,9.9302,42.40992083465668
170,1287,2027,3,line,Bassecourt,Mühleberg,AC,45.4,,,Bassecourt,7.19192499999999,47.363944,Mühleberg,7.223511,47.007416,39.53159857196123
171,1288,2035,3,line,Mettlen,Ulrichen,AC,87.1,,,Mettlen (bei Güntisberg),47.2591,8.90211,Ulrichenweg,47.3133,7.67894,92.72651434690754
174,1286,2029,3,line,Chippis,Lavorgo,AC,124.0,,,Chiari,9.85748299999999,45.615959,Lavorgo,8.797302,46.400935,145.55461299963525
175,1733,2027,3,line,Bickigen,Chippis,AC,106.6,,,Beckingen,47.4937,9.05144,Chippis,46.2805,7.54063,177.33108698137193
176,1734,2022,4,line,Chamoson,Chippis,AC,30.0,,,Route de Chamoson,46.1891,7.21012,Chippis,46.2805,7.54063,27.44367062912005
200,445,2020,4,line,Zandvliet,Lillo - Liefkenshoek,AC,18.0,,,Zandvlietstraat,51.1865,4.38689,Liefkenshoektunnel,51.3002,4.30035,14.018825628618474
203,1458,2024,3,line,Codrongianos - Lucciana,Suvereto ,DC,300.0,,,Codrongianus,8.63662699999999,40.643136,Suvereto,10.673218,43.014689,344.2118005234241
205,1472,2025,4,line,St. Peter,Tauern,AC,128.0,,,St. Peter,13.08197,48.25577,Tauern,12.671356,47.342545,109.0329068417026
206,1473,2024,3,line,Isar/Altheim/Ottenhofen,St. Peter,AC,90.0,DE,AT,Ottenhofen,11.825409,48.314255,St. Peter,13.08197,48.25577,139.1536171445567
207,1558,2021,4,line,Cirkovce,Heviz (HU) \ Zerjavinec,AC,80.0,SI,HR,Cirkovce,15.553894,46.274834,Žerjavinec,16.369629,45.848891,101.13124954240546
210,1482,2023,3,line,REDIPUGLIA,VRTOJBA,AC,22.5,,,Redipuglia,45.8472,13.489,H4 Exit (Vrtojba-Vipava),45.8946,13.7898,23.941932850243713
247,1544,2029,3,line,Rilland,Tilburg,AC,80.0,,,Rifland,4.55108599999999,51.602666,Tilburg,5.20751999999999,51.571949,72.66990839823295
248,1546,2023,4,line,Eemshaven Oude Schip,Vierverlaten,AC,40.0,,,Eemshaven,6.811523,53.346452,Vierverlaten,6.49292,53.144299,41.72644605859666
264,1622,2020,4,line,Bitola,Elbasan,AC,161.0,,,Битола,41.0318,21.3352,Elbasan,41.1106,20.0794,105.90443047900763
282,1685,2021,4,line,Dollern,Stade,AC,14.0,DE,DE,Dollern,9.516907,53.415262,Stade,9.34936500000001,53.568861,25.058933889287264
283,1686,2024,4,line,Wahle,Mecklar,AC,210.0,DE,DE,Wahle,10.453491,52.258071,Mecklar,9.621277,50.85971,178.80958367404065
284,1688,2028,3,line,Nuojuankangas,Huutokoski,AC,290.0,,,Isokangas,25.694275,65.279688,Huutokoski,27.766571,62.262171,377.92510609202003
294,1716,2020,4,line,Chania I,Molai ,AC,179.0,,,Chania International Airport,35.5398,24.1402,Μολάοι,36.8043,22.8533,181.90810898252647
303,645,2027,3,line,Laino,Altomonte,AC,50.0,IT,IT,Laino,15.948029,40.078071,Altomonte,16.020813,39.778991,33.01191006400444
307,1731,2022,4,line,Borssele,Rilland,AC,40.0,,,Borsele,51.4255,3.73794,Rilland,51.4231,4.19806,32.004935759751454
